> [{cost: 132, cost_one: 3, cost_two: 1}]
> [{cost: 130, cost_one: 5, cost_two: 3}]
> [{cost: 133, cost_one: 2, cost_two: 5}]
> [{cost: 130, cost_one: 4, cost_two: 1}]
> [{cost: 128, cost_one: 6, cost_two: 4}]
> [{cost: 126, cost_one: 5, cost_two: 3}]
> [{cost: 124, cost_one: 4, cost_two: 2}]
> [{cost: 124, cost_one: 3, cost_two: 3}]
> [{cost: 123, cost_one: 4, cost_two: 3}]
> [{cost: 125, cost_one: 1, cost_two: 3}]
> [{cost: 128, cost_one: 3, cost_two: 6}]
> [{cost: 129, cost_one: 2, cost_two: 3}]
> [{cost: 127, cost_one: 4, cost_two: 2}]
> [{cost: 128, cost_one: 3, cost_two: 4}]
> [{cost: 128, cost_one: 3, cost_two: 3}]
> [{cost: 128, cost_one: 2, cost_two: 2}]
> [{cost: 130, cost_one: 2, cost_two: 4}]
> [{cost: 129, cost_one: 3, cost_two: 2}]
> [{cost: 129, cost_one: 4, cost_two: 4}]
> [{cost: 129, cost_one: 2, cost_two: 2}]
> [{cost: 130, cost_one: 4, cost_two: 5}]
> [{cost: 129, cost_one: 4, cost_two: 3}]
> [{cost: 129, cost_one: 2, cost_two: 2}]
> [{cost: 129, cost_one: 3, cost_two: 3}]
> [{cost: 128, cost_one: 3, cost_two: 2}]
> [{cost: 128, cost_one: 3, cost_two: 3}]
> [{cost: 126, cost_one: 5, cost_two: 3}]
> [{cost: 124, cost_one: 3, cost_two: 1}]
> [{cost: 127, cost_one: 4, cost_two: 7}]
> [{cost: 125, cost_one: 5, cost_two: 3}]
> [{cost: 123, cost_one: 4, cost_two: 2}]
> [{cost: 124, cost_one: 3, cost_two: 4}]
> [{cost: 123, cost_one: 3, cost_two: 2}]
> [{cost: 123, cost_one: 4, cost_two: 4}]
> [{cost: 122, cost_one: 3, cost_two: 2}]
> [{cost: 120, cost_one: 5, cost_two: 3}]
> [{cost: 120, cost_one: 1, cost_two: 1}]
> [{cost: 121, cost_one: 3, cost_two: 4}]
> [{cost: 119, cost_one: 4, cost_two: 2}]
> [{cost: 121, cost_one: 3, cost_two: 5}]
> [{cost: 118, cost_one: 4, cost_two: 1}]
> [{cost: 117, cost_one: 5, cost_two: 4}]
> [{cost: 116, cost_one: 4, cost_two: 3}]
> [{cost: 117, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 2, cost_two: 2}]
